"idANOMALIA";"CLASSIFICACAO_ANOMALIA_idCLASSIFICACAO_ANOMALIA";"CONTRATO_idCONTRATO";"DESCRICAO";"DATA_OCORRENCIA"
1;1;6;"Descricao da anomalia registrada";"2020-01-11"
2;1;5;"Descricao da anomalia registrada";"2018-11-25"
3;1;3;"Descricao da anomalia registrada";"2020-09-03"
4;1;5;"Descricao da anomalia registrada";"2017-01-26"
5;3;6;"Descricao da anomalia registrada";"2017-10-02"
6;5;3;"Descricao da anomalia registrada";"2016-06-20"
7;1;1;"Descricao da anomalia registrada";"2017-09-19"
8;3;4;"Descricao da anomalia registrada";"2021-04-10"
9;1;5;"Descricao da anomalia registrada";"2017-05-05"
10;1;2;"Descricao da anomalia registrada";"2021-01-11"
11;3;3;"Descricao da anomalia registrada";"2019-01-13"
12;1;3;"Descricao da anomalia registrada";"2020-04-06"
13;1;5;"Descricao da anomalia registrada";"2020-03-28"
14;3;2;"Descricao da anomalia registrada";"2020-12-31"
15;3;6;"Descricao da anomalia registrada";"2015-09-11"
16;1;3;"Descricao da anomalia registrada";"2018-01-19"
17;1;2;"Descricao da anomalia registrada";"2017-06-11"
18;5;1;"Descricao da anomalia registrada";"2018-07-14"
19;1;4;"Descricao da anomalia registrada";"2019-01-21"
20;5;4;"Descricao da anomalia registrada";"2020-08-18"
21;3;1;"Descricao da anomalia registrada";"2020-06-30"
22;3;1;"Descricao da anomalia registrada";"2017-02-20"
23;3;4;"Descricao da anomalia registrada";"2016-06-20"
24;1;4;"Descricao da anomalia registrada";"2017-02-18"
25;1;2;"Descricao da anomalia registrada";"2017-09-14"
26;1;1;"Descricao da anomalia registrada";"2017-07-15"
27;4;2;"Descricao da anomalia registrada";"2020-01-06"
28;3;4;"Descricao da anomalia registrada";"2021-03-03"
29;1;5;"Descricao da anomalia registrada";"2021-07-11"
30;1;1;"Descricao da anomalia registrada";"2018-07-31"
31;1;5;"Descricao da anomalia registrada";"2017-02-12"
32;1;3;"Descricao da anomalia registrada";"2016-08-18"
33;3;6;"Descricao da anomalia registrada";"2016-11-06"
34;3;1;"Descricao da anomalia registrada";"2017-12-14"
35;3;1;"Descricao da anomalia registrada";"2021-03-30"
36;1;6;"Descricao da anomalia registrada";"2017-09-24"
37;5;3;"Descricao da anomalia registrada";"2021-03-21"
38;1;5;"Descricao da anomalia registrada";"2021-05-13"
39;4;1;"Descricao da anomalia registrada";"2017-07-30"
40;1;2;"Descricao da anomalia registrada";"2018-07-31"
41;4;3;"Descricao da anomalia registrada";"2017-04-08"
42;4;6;"Descricao da anomalia registrada";"2016-05-11"
43;3;6;"Descricao da anomalia registrada";"2020-07-21"
44;1;4;"Descricao da anomalia registrada";"2019-08-23"
45;1;6;"Descricao da anomalia registrada";"2021-03-26"
46;1;4;"Descricao da anomalia registrada";"2020-07-19"
47;1;6;"Descricao da anomalia registrada";"2017-03-22"
48;1;6;"Descricao da anomalia registrada";"2020-03-31"
49;5;3;"Descricao da anomalia registrada";"2017-01-19"
50;3;2;"Descricao da anomalia registrada";"2019-06-23"
51;1;1;"Descricao da anomalia registrada";"2018-02-07"
52;3;1;"Descricao da anomalia registrada";"2020-12-26"
53;1;3;"Descricao da anomalia registrada";"2016-12-03"
54;4;1;"Descricao da anomalia registrada";"2018-11-26"
55;1;3;"Descricao da anomalia registrada";"2019-04-02"
56;1;4;"Descricao da anomalia registrada";"2020-05-27"
57;1;1;"Descricao da anomalia registrada";"2018-02-18"
58;1;3;"Descricao da anomalia registrada";"2019-02-22"
59;1;4;"Descricao da anomalia registrada";"2019-03-08"
60;1;1;"Descricao da anomalia registrada";"2017-01-02"
61;1;2;"Descricao da anomalia registrada";"2018-12-27"
62;1;6;"Descricao da anomalia registrada";"2016-08-01"
63;1;4;"Descricao da anomalia registrada";"2020-12-12"
64;1;5;"Descricao da anomalia registrada";"2019-10-27"
65;3;4;"Descricao da anomalia registrada";"2016-05-03"
66;3;4;"Descricao da anomalia registrada";"2017-04-13"
67;5;3;"Descricao da anomalia registrada";"2018-10-29"
68;1;3;"Descricao da anomalia registrada";"2019-02-11"
69;4;1;"Descricao da anomalia registrada";"2017-04-10"
